"text","label"
"Компания ABC увеличила инвестиции в исследования.","1"
"Рынок акций демонстрирует волатильность.","0"
"Новые технологии в энергетике снижают затраты.","1"
"Компания XYZ объявила о планах расширения.","1"
"Кризис в сельском хозяйстве вызывает рост цен.","0"
"Экономические реформы приносят первые результаты.","1"
"Криптовалюты снова на подъеме.","1"
"Центральный банк снижает ставки для стимулирования экономики.","1"
"Компания ABC увеличила долю на рынке.","1"
"Рынок недвижимости восстанавливается после спада.","1"
"Новые законы о труде вызвали споры.","0"
"Компания XYZ инвестирует в новые технологии.","1"
"Экономика страны демонстрирует устойчивый рост.","1"
"Кризис в энергетике продолжается.","0"
"Новые меры поддержки экономики вступили в силу.","1"
"Компания ABC объявила о рекордной прибыли.","1"
"Рынок акций реагирует на политические события.","0"
"Криптовалюты теряют популярность.","0"
"Центральный банк вводит новые меры регулирования.","0"
"Компания XYZ увеличила экспорт на 25%.","1"
"Рост цен на продукты вызывает недовольство.","0"
"Новые технологии в производстве снижают затраты.","1"
"Компания ABC объявила о новых инвестициях.","1"
"Экономический рост замедляется.","0"
"Криптовалюты снова в центре внимания.","1"
"Центральный банк предупреждает о рисках.","0"
"Компания XYZ увеличила производственные мощности.","1"
"Рынок недвижимости стабилизируется.","1"
"Новые законы о защите прав потребителей вступили в силу.","1"
"Компания ABC объявила о новых проектах.","1"
"Кризис в банковском секторе продолжается.","0"
"Технологические компании продолжают инвестировать.","1"
"Рост цен на транспорт вызывает недовольство.","0"
"Компания XYZ представила новые решения.","1"
"Экономика страны восстанавливается.","1"
"Криптовалюты теряют популярность.","0"
"Центральный банк вводит новые ограничения.","0"
"Компания ABC увеличила инвестиции в инновации.","1"
"Рынок акций демонстрирует нестабильность.","0"
"Новые технологии в энергетике снижают затраты.","1"
"Компания XYZ объявила о планах расширения.","1"
"Кризис в сельском хозяйстве продолжается.","0"
"Экономические реформы приносят результаты.","1"
"Криптовалюты снова на подъеме.","1"
"Центральный банк снижает ставки.","1"
"Компания ABC увеличила долю на рынке.","1"
"Рынок недвижимости восстанавливается.","1"
"Новые законы о труде вызвали споры.","0"
"Компания XYZ инвестирует в новые технологии.","1"
"Экономика страны демонстрирует рост.","1"
"Кризис в энергетике продолжается.","0"
"Новые меры поддержки экономики вступили в силу.","1"
"Компания ABC объявила о рекордной прибыли.","1"
"Рынок акций реагирует на политические события.","0"
"Криптовалюты теряют популярность.","0"
"Центральный банк вводит новые меры регулирования.","0"
"Компания XYZ увеличила экспорт на 25%.","1"
"Рост цен на продукты вызывает недовольство.","0"
"Новые технологии в производстве снижают затраты.","1"
"Компания ABC объявила о новых инвестициях.","1"
"Экономический рост замедляется.","0"
"Криптовалюты снова в центре внимания.","1"
"Центральный банк предупреждает о рисках.","0"
"Компания XYZ увеличила производственные мощности.","1"
"Рынок недвижимости стабилизируется.","1"
"Новые законы о защите прав потребителей вступили в силу.","1"
"Компания ABC объявила о новых проектах.","1"
"Кризис в банковском секторе продолжается.","0"
"Технологические компании продолжают инвестировать.","1"
"Рост цен на транспорт вызывает недовольство.","0"
"Компания XYZ представила новые решения.","1"
"Экономика страны восстанавливается.","1"
"Криптовалюты теряют популярность.","0"
"Центральный банк вводит новые ограничения.","0"
"Компания ABC увеличила инвестиции в инновации.","1"
"Рынок акций демонстрирует нестабильность.","0"
"Новые технологии в энергетике снижают затраты.","1"
"Компания XYZ объявила о планах расширения.","1"
"Кризис в сельском хозяйстве продолжается.","0"
"Экономические реформы приносят результаты.","1"
"Криптовалюты снова на подъеме.","1"
"Центральный банк снижает ставки.","1"
"Компания ABC увеличила долю на рынке.","1"
"Рынок недвижимости восстанавливается.","1"
"Новые законы о труде вызвали споры.","0"
"Компания XYZ инвестирует в новые технологии.","1"
"Экономика страны демонстрирует рост.","1"
"Кризис в энергетике продолжается.","0"
"Новые меры поддержки экономики вступили в силу.","1"
"Компания ABC объявила о рекордной прибыли.","1"
"Рынок акций реагирует на политические события.","0"
"Криптовалюты теряют популярность.","0"
"Центральный банк вводит новые меры регулирования.","0"
"Компания XYZ увеличила экспорт на 25%.","1"
"Рост цен на продукты вызывает недовольство.","0"
"Новые технологии в производстве снижают затраты.","1"
"Компания ABC объявила о новых инвестициях.","1"
"Экономический рост замедляется.","0"
"Криптовалюты снова в центре внимания.","1"
"Центральный банк предупреждает о рисках.","0"
"Компания XYZ увеличила производственные мощности.","1"
"Рынок недвижимости стабилизируется.","1"
"Новые законы о защите прав потребителей вступили в силу.","1"
"Компания ABC объявила о новых проектах.","1"
"Кризис в банковском секторе продолжается.","0"
"Технологические компании продолжают инвестировать.","1"
"Рост цен на транспорт вызывает недовольство.","0"
"Компания XYZ представила новые решения.","1"
"Экономика страны восстанавливается.","1"
"Криптовалюты теряют популярность.","0"
"Центральный банк вводит новые ограничения.","0"
"Компания ABC увеличила инвестиции в инновации.","1"
"Рынок акций демонстрирует нестабильность.","0"
"Новые технологии в энергетике снижают затраты.","1"
"Компания XYZ объявила о планах расширения.","1"
"Кризис в сельском хозяйстве продолжается.","0"
"Экономические реформы приносят результаты.","1"
"Криптовалюты снова на подъеме.","1"
"Центральный банк снижает ставки.","1"
"Компания ABC увеличила долю на рынке.","1"
"Рынок недвижимости восстанавливается.","1"
"Новые законы о труде вызвали споры.","0"
"Компания XYZ инвестирует в новые технологии.","1"
"Экономика страны демонстрирует рост.","1"
"Кризис в энергетике продолжается.","0"
"Новые меры поддержки экономики вступили в силу.","1"
"Компания ABC объявила о рекордной прибыли.","1"
"Рынок акций реагирует на политические события.","0"
"Криптовалюты теряют популярность.","0"
"Центральный банк вводит новые меры регулирования.","0"
"Компания XYZ увеличила экспорт на 25%.","1"
"Рост цен на продукты вызывает недовольство.","0"
"Новые технологии в производстве снижают затраты.","1"
"Компания ABC объявила о новых инвестициях.","1"
"Экономический рост замедляется.","0"
"Криптовалюты снова в центре внимания.","1"
"Центральный банк предупреждает о рисках.","0"
"Компания XYZ увеличила производственные мощности.","1"
"Рынок недвижимости стабилизируется.","1"
"Новые законы о защите прав потребителей вступили в силу.","1"
"Компания ABC объявила о новых проектах.","1"
"Кризис в банковском секторе продолжается.","0"
"Технологические компании продолжают инвестировать.","1"
"Рост цен на транспорт вызывает недовольство.","0"
"Компания XYZ представила новые решения.","1"
"Экономика страны восстанавливается.","1"
"Криптовалюты теряют популярность.","0"
"Центральный банк вводит новые ограничения.","0"
"Компания ABC увеличила инвестиции в инновации.","1"
"Рынок акций демонстрирует нестабильность.","0"
"Новые технологии в энергетике снижают затраты.","1"
"Компания XYZ объявила о планах расширения.","1"
"Кризис в сельском хозяйстве продолжается.","0"
"Экономические реформы приносят результаты.","1"
"Криптовалюты снова на подъеме.","1"
"Центральный банк снижает ставки.","1"
"Компания ABC увеличила долю на рынке.","1"
"Рынок недвижимости восстанавливается.","1"
"Новые законы о труде вызвали споры.","0"
"Компания XYZ инвестирует в новые технологии.","1"
"Экономика страны демонстрирует рост.","1"
"Кризис в энергетике продолжается.","0"
"Новые меры поддержки экономики вступили в силу.","1"
"Компания ABC объявила о рекордной прибыли.","1"
"Рынок акций реагирует на политические события.","0"
"Криптовалюты теряют популярность.","0"
"Центральный банк вводит новые меры регулирования.","0"
"Компания XYZ увеличила экспорт на 25%.","1"
"Рост цен на продукты вызывает недовольство.","0"
"Новые технологии в производстве снижают затраты.","1"
"Компания ABC объявила о новых инвестициях.","1"
"Экономический рост замедляется.","0"
"Криптовалюты снова в центре внимания.","1"
"Центральный банк предупреждает о рисках.","0"
"Компания XYZ увеличила производственные мощности.","1"
"Рынок недвижимости стабилизируется.","1"
"Новые законы о защите прав потребителей вступили в силу.","1"
"Компания ABC объявила о новых проектах.","1"
"Кризис в банковском секторе продолжается.","0"
"Технологические компании продолжают инвестировать.","1"
"Рост цен на транспорт вызывает недовольство.","0"
"Компания XYZ представила новые решения.","1"
"Экономика страны восстанавливается.","1"
"Криптовалюты теряют популярность.","0"
"Центральный банк вводит новые ограничения.","0"
"Компания ABC увеличила инвестиции в инновации.","1"
"Рынок акций демонстрирует нестабильность.","0"
"Новые технологии в энергетике снижают затраты.","1"
"Компания XYZ объявила о планах расширения.","1"
"Кризис в сельском хозяйстве продолжается.","0"
